"month","date","leadResistance"
"3",1,34.7885471926956
"3",3,34.7095682144632
"3",4,34.7358109996821
"3",5,34.7453607164414
"3",6,34.8225376577222
"3",7,34.7779271833355
"3",8,34.7621184602356
"3",9,34.7567513845356
"3",10,34.6225566192245
"3",13,34.7115273403318
"3",14,34.823348856439
"3",15,34.6905785759765
"3",16,34.7530571319352
"3",17,34.831242949179
"3",18,34.7215718443644
"3",23,34.6540101517162
"3",24,34.7746618546152
"3",26,34.8226437305009
"3",29,34.8437329774051
"3",30,34.7936677640702
"4",1,34.7782631913314
"4",2,34.7771655989749
"4",3,34.7826536489636
"4",4,34.7474023200244
"4",5,34.6726832473544
"4",6,34.8056613266513
"4",7,34.7435031221501
"4",8,34.7711156206894
"4",9,34.8469891148846
"4",10,34.8001701144509
"4",11,34.7305722096086
"4",12,34.8948031095441
"4",13,34.8565719450088
"4",14,34.8793316127349
"4",15,34.7554822722287
"4",16,34.7940526617923
"4",17,34.7607304119554
"4",18,34.763650247358
"4",19,34.7850921745404
"4",20,34.8350876606438
"4",21,34.8828968674694
"4",22,34.7742921488135
"4",23,34.7734062958174
"4",24,34.7086649438973
"4",25,34.837710382873
"4",26,34.7321289537686
"4",27,34.7049151618423
"4",28,34.7796497791658
"4",29,34.7463643096523
"4",30,34.7646658087829
"5",1,34.7794829104545
"5",2,34.8677402845066
"5",3,34.8917566353533
"5",6,34.8405350269586
"5",7,34.7731301543825
"5",8,34.8889452726506
"5",10,34.7971969143177
"5",11,34.7008652950932
"5",12,34.8359766268187
"5",13,34.9517741297224
"5",16,34.7700949895466
"5",17,34.7420784844418
"5",18,34.8807630278614
"5",19,34.8413508702603
"5",20,34.8385896033518
"5",21,34.84699809127
"5",22,34.6957808491216
"5",23,34.9616350364682
"5",24,35.0498029586834
"5",25,35.0133097262734
"5",26,34.8988757106468
"5",27,35.0164905618047
"5",28,34.8320709397332
"5",30,34.9540445513706
"6",1,34.966569866244
"6",2,35.0142421407468
"6",3,35.1217429914425
"6",4,34.9645131215422
"6",6,34.6891819538601
"6",8,34.7804295445995
"6",9,34.7540869404985
"6",10,34.7426003686349
"6",14,34.7143300704373
"6",15,34.8098094973069
"6",16,34.8046076940736
"6",17,34.7216522596618
"6",19,34.8885043029799
"6",20,34.765421533638
"6",22,34.6753471683312
"6",23,34.8224364919715
"6",26,34.6971016735036
"6",27,34.6284717452991
"6",28,34.7448718620051
"6",30,34.8228230065678
"7",1,34.6376848710606
"7",2,34.7298629408911
"7",3,34.7304671676094
"7",4,34.6945102152426
"7",5,34.7883092979944
"7",6,34.8292224628293
"7",7,34.8044432494073
"7",8,34.8452026105598
"7",9,34.6947507766835
"7",10,34.7669784825102
"7",11,34.7961579508866
"7",12,34.7431318975688
"7",13,34.7132109658922
"7",14,34.7570905777757
"7",15,34.74871647648
"7",16,34.7798323045855
"7",17,34.6848556292836
"7",18,34.7622555194559
"7",19,34.7398114554057
"7",20,34.7516422122343
"7",21,34.7800868641576
"7",22,34.8103077498332
"7",23,34.7427252774194
"7",24,34.756028252518
"7",25,34.7446255327358
"7",26,35.078367389905
"7",27,35.1383376591364
"7",29,34.7783079331615
"7",30,35.0482782119809
"7",31,35.1682484955954
"8",1,34.7782187840056
"8",3,35.228189077212
"8",4,34.6814788943113
"8",6,34.9592888127073
"8",7,34.8760482536974
"8",8,34.6673130360565
"8",9,34.7102672021383
"8",11,34.7260904821085
"8",12,34.7109774840132
"8",13,35.0779515956078
"8",14,35.1529219320099
"8",15,34.7778922732147
"8",17,35.047862619223
"8",18,35.0778329700352
"8",20,35.077803325652
"8",21,35.1677736860742
"8",22,34.7592164723962
"8",24,34.8032115835909
"8",25,34.7476595587686
"8",27,34.6642651804784
"8",28,34.7200429360891
"8",29,34.7757424548333
"8",31,34.8302611911463
